순위,종목명,코드,현재가,거래량,시가총액,PER,ROE
26,KT&G,033780,"83,100","292,854","114,090",10.80,12.39
29,삼성전기,009150,"131,000","397,009","97,849",19.68,10.18
40,코웨이,021240,"80,100","359,655","59,113",17.69,30.74
48,한온시스템,018880,"9,500","919,931","50,711",17.09,14.98
95,한국항공우주,047810,"24,400","252,976","23,784",11.48,15.84
100,BGF리테일,282330,"127,500","19,609","22,037",15.47,26.46
103,키움증권,039490,"98,700","158,490","21,812",11.69,16.97
109,제일기획,030000,"18,150","382,705","20,880",15.00,15.09
114,동서,026960,"18,300","270,049","18,245",13.42,10.53
121,한솔케미칼,014680,"144,000","82,806","16,265",16.53,20.88
136,더블유게임즈,192080,"74,800","182,087","13,744",11.84,18.93
141,F&F,007700,"85,400","53,969","13,152",11.99,25.13
145,지누스,013890,"89,000","613,048","12,822",15.88,26.32
181,삼양식품,003230,"125,000","201,988","9,416",13.36,23.15
190,쿠쿠홈시스,284740,"37,500","175,062","8,414",14.10,16.10
193,현대오토에버,307950,"39,900","37,797","8,379",15.05,11.71
199,GKL,114090,"13,000","249,657","8,041",10.26,12.62
