순위,종목명,코드,현재가,거래량,시가총액,PER,ROE
349,나이스디앤비,130580,"12,400","25,792","1,910",16.51,21.19
369,엠에스오토텍,123040,"5,340","843,592","1,831",25.31,13.84
375,멀티캠퍼스,067280,"30,500","3,706","1,808",11.40,18.19
379,SBI핀테크솔루션즈,950110,"7,230","24,302","1,783",19.18,22.11
380,오션브릿지,241790,"17,800","434,109","1,780",17.02,17.69
384,제이엔케이히터,126880,"7,780","1,720,646","1,776",19.45,10.11
386,야스,255440,"13,550","22,743","1,769",16.34,11.22
388,갤럭시아컴즈,094480,"4,510","899,301","1,769",19.69,10.04
392,어보브반도체,102120,"10,050","1,264,104","1,755",10.70,15.80
400,청담러닝,096240,"22,400","39,949","1,719",29.59,12.06
401,메디아나,041920,"19,850","419,232","1,717",18.96,12.68
403,민앤지,214180,"13,850","73,739","1,712",10.72,15.71
410,플레이디,237820,"13,050","106,750","1,674",17.88,17.67
414,대한뉴팜,054670,"11,500","143,046","1,651",10.52,29.27
418,쎄트렉아이,099320,"22,550","25,286","1,639",19.80,11.74
421,세운메디칼,100700,"3,720","505,940","1,629",16.91,10.44
428,아주IB투자,027360,"1,345","424,120","1,597",18.94,10.07
451,제노레이,122310,"10,250","159,993","1,492",10.14,25.33
454,라이온켐텍,171120,"7,890",667,"1,491",10.87,10.14
456,제로투세븐,159580,"7,420","39,497","1,486",19.79,13.70
457,이지웰,090850,"12,700","68,217","1,485",22.84,15.55
463,미래에셋벤처투자,100790,"3,195","415,831","1,470",17.46,10.18
469,디지털대성,068930,"6,410","32,587","1,453",10.42,19.70
488,엘이티,297890,"19,650","461,805","1,397",17.27,30.35
500,힘스,238490,"12,050","155,254","1,363",18.34,14.90
