순위,종목명,코드,현재가,거래량,시가총액,PER,ROE
27,KT&G,033780,"82,400","274,312","113,129",10.71,12.39
29,삼성전기,009150,"131,000","695,646","97,849",19.68,10.18
42,코웨이,021240,"76,400","268,364","56,383",16.88,30.74
47,한온시스템,018880,"9,700","1,429,738","51,779",17.45,14.98
93,한국항공우주,047810,"24,450","219,454","23,833",11.50,15.84
97,키움증권,039490,"103,000","223,364","22,763",12.20,16.97
100,BGF리테일,282330,"129,000","18,769","22,296",15.65,26.46
108,제일기획,030000,"17,950","472,188","20,650",14.83,15.09
114,동서,026960,"17,850","289,033","17,796",13.09,10.53
119,한솔케미칼,014680,"149,000","97,968","16,830",17.10,20.88
133,더블유게임즈,192080,"75,200","152,289","13,818",11.90,18.93
138,대웅,003090,"22,550","264,223","13,111",19.87,10.43
139,F&F,007700,"85,100","129,568","13,105",11.95,25.13
148,지누스,013890,"85,900","59,393","12,375",15.33,26.32
163,신세계인터내셔날,031430,"155,500","32,028","11,103",19.89,12.98
177,삼양식품,003230,"126,500","82,338","9,529",13.52,23.15
192,현대오토에버,307950,"38,800","14,531","8,148",14.63,11.71
198,GKL,114090,"12,950","298,368","8,010",10.22,12.62
