순위,종목명,코드,현재가,거래량,시가총액,PER,ROE
12,LG생활건강,051900,"1,321,000","20,386","206,316",29.81,20.32
22,삼성에스디에스,018260,"180,500","116,558","139,667",24.65,11.76
26,KT&G,033780,"83,100","292,854","114,090",10.80,12.39
29,삼성전기,009150,"131,000","397,009","97,849",19.68,10.18
40,코웨이,021240,"80,100","359,655","59,113",17.69,30.74
44,오리온,271560,"136,500","74,904","53,967",22.73,14.24
48,한온시스템,018880,"9,500","919,931","50,711",17.09,14.98
64,에스원,012750,"88,200","35,633","33,515",23.21,11.32
95,한국항공우주,047810,"24,400","252,976","23,784",11.48,15.84
100,BGF리테일,282330,"127,500","19,609","22,037",15.47,26.46
