순위,종목명,코드,현재가,거래량,시가총액,PER,ROE
1,삼성전자,005930,"54,200","10,905,248","3,235,622",17.29,8.69
18,기아차,000270,"36,900","2,707,802","149,579",10.36,6.50
24,LG,003550,"72,100","145,398","124,414",10.40,5.87
27,KT&G,033780,"80,400","303,453","110,383",10.45,12.39
34,고려아연,010130,"395,500","60,444","74,631",12.05,9.76
39,롯데케미칼,011170,"173,000","85,166","59,296",14.11,5.51
43,코웨이,021240,"74,500","162,325","54,981",16.46,30.74
47,LG유플러스,032640,"11,300","3,687,517","49,337",10.93,6.30
49,한온시스템,018880,"9,130","663,652","48,736",16.42,14.98
50,미래에셋대우,006800,"7,530","2,799,928","48,592",10.20,7.56
77,두산밥캣,241560,"27,500","403,904","27,569",11.62,7.05
80,GS리테일,007070,"35,250","142,164","27,142",15.04,6.25
89,쌍용양회,003410,"4,895","1,081,393","24,664",18.00,7.02
94,한국항공우주,047810,"24,550","320,059","23,930",11.55,15.84
